Trial_ID,Scenario,Lane_Type,Peak_Speed_Variance,Amplification_Factor,Settling_Time_sec
1,6,Human,8.9194,2.8670,60.0167
1,6,LAR_1,6.3786,1.4335,18.0667
1,6,LAR_2,5.1694,1.4335,15.6833
1,6,LAR_3,4.6442,1.4335,14.5333
1,6,LAR_4,4.4777,1.4335,14.0167
1,6,LAR_5,4.4439,1.4335,14.1000
2,6,Human,6.0472,2.7678,60.0167
2,6,LAR_1,6.5633,1.3839,18.3333
2,6,LAR_2,5.3547,1.3839,15.9667
2,6,LAR_3,4.8179,1.3839,14.8167
2,6,LAR_4,4.6395,1.3839,14.2833
2,6,LAR_5,4.6003,1.3839,14.3667
3,6,Human,7.2322,2.6609,60.0167
3,6,LAR_1,7.0165,1.3305,19.4167
3,6,LAR_2,5.7561,1.3305,16.9667
3,6,LAR_3,5.1551,1.3305,15.7667
3,6,LAR_4,4.9437,1.3305,15.2000
3,6,LAR_5,4.8937,1.3305,15.0500
4,6,Human,7.1005,2.4690,60.0167
4,6,LAR_1,6.1801,1.2345,17.8500
4,6,LAR_2,5.0325,1.2345,15.7167
4,6,LAR_3,4.4924,1.2345,14.7000
4,6,LAR_4,4.3011,1.2345,14.2667
4,6,LAR_5,4.2544,1.2345,14.8500
5,6,Human,7.4575,2.5447,60.0167
5,6,LAR_1,7.7402,1.2724,21.2500
5,6,LAR_2,6.3514,1.2724,18.6167
5,6,LAR_3,5.6429,1.2724,17.3333
5,6,LAR_4,5.4000,1.2724,16.7167
5,6,LAR_5,5.3444,1.2724,16.5000
6,6,Human,7.3590,2.6850,60.0167
6,6,LAR_1,7.1871,1.3425,20.4167
6,6,LAR_2,5.8713,1.3425,17.7667
6,6,LAR_3,5.2874,1.3425,16.4833
6,6,LAR_4,5.1019,1.3425,15.9000
6,6,LAR_5,5.0643,1.3425,15.7000
7,6,Human,6.2391,2.6165,60.0167
7,6,LAR_1,6.5868,1.3083,18.7833
7,6,LAR_2,5.3780,1.3083,16.4167
7,6,LAR_3,4.8374,1.3083,15.2667
7,6,LAR_4,4.6566,1.3083,14.7333
7,6,LAR_5,4.6164,1.3083,14.8000
8,6,Human,7.4882,2.8547,60.0167
8,6,LAR_1,7.5515,1.4274,20.8333
8,6,LAR_2,6.1926,1.4274,18.0667
8,6,LAR_3,5.5819,1.4274,16.7167
8,6,LAR_4,5.3858,1.4274,16.1000
8,6,LAR_5,5.3458,1.4274,15.9000
9,6,Human,7.7062,3.2727,60.0167
9,6,LAR_1,7.8302,1.5140,21.0500
9,6,LAR_2,6.4177,1.5140,18.1500
9,6,LAR_3,5.7826,1.5140,16.7333
9,6,LAR_4,5.5841,1.5140,16.1000
9,6,LAR_5,5.5461,1.5140,15.8833
10,6,Human,7.2086,2.4310,60.0167
10,6,LAR_1,7.0657,1.2155,19.9333
10,6,LAR_2,5.7485,1.2155,17.5667
10,6,LAR_3,5.0996,1.2155,16.4000
10,6,LAR_4,4.8820,1.2155,15.8500
10,6,LAR_5,4.8304,1.2155,15.7833
11,6,Human,7.4782,3.2575,60.0167
11,6,LAR_1,8.4037,1.5133,22.1167
11,6,LAR_2,6.9575,1.5133,19.1000
11,6,LAR_3,6.2752,1.5133,17.6333
11,6,LAR_4,6.0405,1.5133,16.9500
11,6,LAR_5,5.9900,1.5133,16.7000
12,6,Human,7.3559,2.9365,60.0167
12,6,LAR_1,7.2764,1.4683,19.8667
12,6,LAR_2,5.9630,1.4683,17.2167
12,6,LAR_3,5.3715,1.4683,15.9333
12,6,LAR_4,5.1785,1.4683,15.3500
12,6,LAR_5,5.1375,1.4683,15.1500
13,6,Human,7.4788,3.2057,60.0167
13,6,LAR_1,7.4981,1.5108,19.9333
13,6,LAR_2,6.1633,1.5108,17.2333
13,6,LAR_3,5.5508,1.5108,15.9167
13,6,LAR_4,5.3465,1.5108,15.3000
13,6,LAR_5,5.3021,1.5108,15.1000
14,6,Human,6.7692,3.3777,60.0167
14,6,LAR_1,7.1575,1.5189,19.4333
14,6,LAR_2,5.8269,1.5189,16.7333
14,6,LAR_3,5.2338,1.5189,15.4333
14,6,LAR_4,5.0498,1.5189,14.8667
14,6,LAR_5,5.0139,1.5189,14.6667
15,6,Human,7.6286,3.2085,60.0167
