Trial_ID,Scenario,Lane_Type,Peak_Speed_Variance,Amplification_Factor,Settling_Time_sec
1,7,Human,12.0357,1.7704,60.0167
1,7,LAR_1,7.9947,0.8856,20.4167
1,7,LAR_2,7.5274,0.8856,17.5667
1,7,LAR_3,7.2474,0.8856,17.9500
1,7,LAR_4,7.1485,0.8856,18.5667
1,7,LAR_5,7.1413,0.8856,18.6167
2,7,Human,9.5785,1.7135,60.0167
2,7,LAR_1,7.9774,0.8579,20.6167
2,7,LAR_2,6.9663,0.8579,17.7500
2,7,LAR_3,6.7505,0.8579,16.4667
2,7,LAR_4,6.6915,0.8579,17.6333
2,7,LAR_5,6.6915,0.8579,17.6667
3,7,Human,9.3705,1.6519,60.0167
3,7,LAR_1,8.0716,0.8267,21.2333
3,7,LAR_2,6.7795,0.8267,17.9500
3,7,LAR_3,6.4649,0.8267,16.3000
3,7,LAR_4,6.4267,0.8267,16.0667
3,7,LAR_5,6.4267,0.8267,16.6333
4,7,Human,9.7274,1.5404,60.0167
4,7,LAR_1,7.6045,0.7708,20.0667
4,7,LAR_2,6.8460,0.7708,17.2167
4,7,LAR_3,6.6581,0.7708,16.3667
4,7,LAR_4,6.6216,0.7708,17.5667
4,7,LAR_5,6.6216,0.7708,17.6000
5,7,Human,9.6992,1.2427,60.0167
5,7,LAR_1,8.9347,0.7936,23.2500
5,7,LAR_2,7.3584,0.7936,19.6333
5,7,LAR_3,6.7458,0.7936,18.0000
5,7,LAR_4,6.5300,0.7936,17.2000
5,7,LAR_5,6.5028,0.7936,16.9500
6,7,Human,9.5780,1.1908,60.0167
6,7,LAR_1,8.7514,0.8334,22.9167
6,7,LAR_2,7.8746,0.8334,19.7500
6,7,LAR_3,7.6654,0.8334,18.2000
6,7,LAR_4,7.6286,0.8334,19.3333
6,7,LAR_5,7.6286,0.8334,19.3667
7,7,Human,8.9005,1.6261,60.0167
7,7,LAR_1,8.0641,0.8137,21.1000
7,7,LAR_2,7.2570,0.8137,18.1500
7,7,LAR_3,7.0532,0.8137,17.0500
7,7,LAR_4,7.0065,0.8137,18.2333
7,7,LAR_5,7.0065,0.8137,18.2833
8,7,Human,9.9478,1.0919,60.0167
8,7,LAR_1,8.7247,0.8823,22.8000
8,7,LAR_2,7.4885,0.8823,19.6000
8,7,LAR_3,7.2633,0.8823,17.8333
8,7,LAR_4,7.2184,0.8823,17.3333
8,7,LAR_5,7.2184,0.8823,17.2667
9,7,Human,9.5074,1.0000,60.0167
9,7,LAR_1,8.9450,1.0008,22.9000
9,7,LAR_2,7.6987,1.0008,19.7833
9,7,LAR_3,7.4293,1.0008,18.0167
9,7,LAR_4,7.3423,1.0008,17.4667
9,7,LAR_5,7.3423,1.0008,17.4000
10,7,Human,9.8033,1.5181,60.0167
10,7,LAR_1,8.3626,0.7600,22.1167
10,7,LAR_2,6.9924,0.7600,18.7167
10,7,LAR_3,6.5589,0.7600,17.0333
10,7,LAR_4,6.5569,0.7600,16.5000
10,7,LAR_5,6.5569,0.7600,16.3833
11,7,Human,9.9409,1.0000,60.0167
11,7,LAR_1,9.1770,0.9968,23.4833
11,7,LAR_2,7.6913,0.9968,19.9000
11,7,LAR_3,6.9805,0.9968,18.1500
11,7,LAR_4,6.7674,0.9968,17.3833
11,7,LAR_5,6.7619,0.9968,17.1000
12,7,Human,9.8946,1.2625,60.0167
12,7,LAR_1,8.4008,0.9060,21.7667
12,7,LAR_2,7.1544,0.9060,18.6167
12,7,LAR_3,6.8681,0.9060,16.9333
12,7,LAR_4,6.8050,0.9060,16.5667
12,7,LAR_5,6.8050,0.9060,17.3500
13,7,Human,10.2359,1.9624,60.0167
13,7,LAR_1,8.3299,0.9821,21.4000
13,7,LAR_2,7.0103,0.9821,18.1167
13,7,LAR_3,6.5318,0.9821,16.4667
13,7,LAR_4,6.4434,0.9821,15.8833
13,7,LAR_5,6.4434,0.9821,15.7333
14,7,Human,9.1023,1.0000,60.0167
14,7,LAR_1,8.7058,1.0300,21.7833
14,7,LAR_2,7.9349,1.0300,18.8167
14,7,LAR_3,7.5831,1.0300,17.8167
14,7,LAR_4,7.4682,1.0300,19.0167
14,7,LAR_5,7.4584,1.0300,19.0667
15,7,Human,9.3287,1.0000,60.0167
15,7,LAR_1,9.2582,0.9828,23.8333
15,7,LAR_2,7.7953,0.9828,20.1833
15,7,LAR_3,7.0537,0.9828,18.4000
15,7,LAR_4,6.9578,0.9828,17.6167
15,7,LAR_5,6.9578,0.9828,17.3500
16,7,Human,9.9724,1.8000,60.0167
16,7,LAR_1,8.2464,0.9014,21.2833
16,7,LAR_2,6.9802,0.9014,18.1167
16,7,LAR_3,6.5548,0.9014,16.4500
16,7,LAR_4,6.4949,0.9014,16.0500
16,7,LAR_5,6.4949,0.9014,16.5667
17,7,Human,9.6359,1.6595,60.0167
17,7,LAR_1,7.9139,0.8308,20.7167
17,7,LAR_2,6.6985,0.8308,17.6167
17,7,LAR_3,6.5040,0.8308,16.1333
17,7,LAR_4,6.4589,0.8308,16.7833
17,7,LAR_5,6.4589,0.8308,17.1667
18,7,Human,9.5263,1.5637,60.0167
18,7,LAR_1,8.1072,0.7827,21.4333
18,7,LAR_2,6.7646,0.7827,18.0500
18,7,LAR_3,6.3291,0.7827,16.4000
18,7,LAR_4,6.3146,0.7827,16.0500
18,7,LAR_5,6.3146,0.7827,16.0167
19,7,Human,8.8840,1.5048,60.0167
19,7,LAR_1,7.6868,0.7536,20.3333
19,7,LAR_2,6.4505,0.7536,17.2333
19,7,LAR_3,6.2337,0.7536,15.8167
19,7,LAR_4,6.2186,0.7536,16.8000
19,7,LAR_5,6.2186,0.7536,16.9000
20,7,Human,9.1226,1.0413,60.0167
20,7,LAR_1,9.2999,1.1906,23.4833
20,7,LAR_2,7.9190,1.1906,20.0000
20,7,LAR_3,7.1894,1.1906,18.2333
20,7,LAR_4,7.0650,1.1906,17.4333
20,7,LAR_5,7.0615,1.1906,17.1500
21,7,Human,10.2153,1.2333,60.0167
21,7,LAR_1,8.6972,0.8631,22.4833
21,7,LAR_2,8.0400,0.8631,19.3667
21,7,LAR_3,7.8099,0.8631,18.2667
21,7,LAR_4,7.7421,0.8631,19.4667
21,7,LAR_5,7.7421,0.8631,19.5000
22,7,Human,9.2329,1.0334,60.0167
22,7,LAR_1,9.2899,1.0273,23.7333
22,7,LAR_2,7.9049,1.0273,20.2167
22,7,LAR_3,7.2190,1.0273,18.4333
22,7,LAR_4,7.1306,1.0273,17.6333
22,7,LAR_5,7.1306,1.0273,17.3500
23,7,Human,9.9135,1.2540,60.0167
23,7,LAR_1,8.6421,1.1197,21.8333
23,7,LAR_2,7.3416,1.1197,18.6667
23,7,LAR_3,6.9237,1.1197,17.0000
23,7,LAR_4,6.8046,1.1197,16.4000
23,7,LAR_5,6.8000,1.1197,16.2667
24,7,Human,10.3836,1.2030,60.0167
24,7,LAR_1,8.9468,0.9953,22.5833
24,7,LAR_2,8.1330,0.9953,19.5000
24,7,LAR_3,7.8254,0.9953,18.2667
24,7,LAR_4,7.7203,0.9953,19.4667
24,7,LAR_5,7.7181,0.9953,19.5167
25,7,Human,10.1045,1.0000,60.0167
25,7,LAR_1,8.9685,1.1830,22.4333
25,7,LAR_2,7.8415,1.1830,19.4000
25,7,LAR_3,7.4148,1.1830,17.6833
25,7,LAR_4,7.2885,1.1830,17.2833
25,7,LAR_5,7.2831,1.1830,18.1833
26,7,Human,9.3178,1.5357,60.0167
26,7,LAR_1,8.2745,0.7684,22.1667
26,7,LAR_2,7.0138,0.7684,18.8333
26,7,LAR_3,6.8365,0.7684,17.1167
26,7,LAR_4,6.8302,0.7684,16.8500
26,7,LAR_5,6.8302,0.7684,17.0667
27,7,Human,10.6055,2.0763,60.0167
27,7,LAR_1,8.8571,1.0389,22.1833
27,7,LAR_2,8.0523,1.0389,19.1667
27,7,LAR_3,7.7015,1.0389,17.9833
27,7,LAR_4,7.5875,1.0389,19.1833
27,7,LAR_5,7.5799,1.0389,19.2333
28,7,Human,9.4651,1.0000,60.0167
28,7,LAR_1,7.9188,0.7584,20.6333
28,7,LAR_2,7.6449,0.7584,17.7333
28,7,LAR_3,7.4256,0.7584,18.7833
28,7,LAR_4,7.3584,0.7584,19.0000
28,7,LAR_5,7.3584,0.7584,19.0500
29,7,Human,9.9851,1.2093,60.0167
29,7,LAR_1,8.5711,0.9240,22.2000
29,7,LAR_2,7.2988,0.9240,18.9500
29,7,LAR_3,6.9271,0.9240,17.2333
29,7,LAR_4,6.8618,0.9240,16.7167
29,7,LAR_5,6.8618,0.9240,16.6333
30,7,Human,9.7790,1.0772,60.0167
30,7,LAR_1,8.9235,0.8361,23.2167
30,7,LAR_2,7.3865,0.8361,19.6000
30,7,LAR_3,6.7463,0.8361,17.9167
30,7,LAR_4,6.5884,0.8361,17.1333
30,7,LAR_5,6.5884,0.8361,16.8667
31,7,Human,9.5987,1.0445,60.0167
31,7,LAR_1,8.9293,1.1587,22.4667
31,7,LAR_2,7.5330,1.1587,19.0500
31,7,LAR_3,6.7896,1.1587,17.3667
31,7,LAR_4,6.5720,1.1587,16.6167
31,7,LAR_5,6.5648,1.1587,16.3500
32,7,Human,8.4642,2.2524,60.0167
32,7,LAR_1,8.6172,1.1271,21.6833
32,7,LAR_2,7.4494,1.1271,18.6500
32,7,LAR_3,7.0472,1.1271,16.9833
32,7,LAR_4,6.9274,1.1271,16.5833
32,7,LAR_5,6.9229,1.1271,16.6333
33,7,Human,9.0680,1.2260,60.0167
33,7,LAR_1,8.2319,0.8604,20.5333
33,7,LAR_2,7.8708,0.8604,17.6667
33,7,LAR_3,7.5733,0.8604,19.0167
33,7,LAR_4,7.4603,0.8604,19.2333
33,7,LAR_5,7.4429,0.8604,19.2833
34,7,Human,10.0543,1.0000,60.0167
34,7,LAR_1,9.1699,1.0642,23.3667
34,7,LAR_2,7.8930,1.0642,20.1833
34,7,LAR_3,7.5659,1.0642,18.3833
34,7,LAR_4,7.4604,1.0642,17.7333
34,7,LAR_5,7.4604,1.0642,17.6000
35,7,Human,9.9937,1.1278,60.0167
35,7,LAR_1,9.2273,1.0915,23.4833
35,7,LAR_2,7.9077,1.0915,20.1167
35,7,LAR_3,7.3390,1.0915,18.3500
35,7,LAR_4,7.2310,1.0915,17.5333
35,7,LAR_5,7.2310,1.0915,17.2500
36,7,Human,10.0574,1.8472,60.0167
36,7,LAR_1,8.3561,0.9242,21.6167
36,7,LAR_2,7.2203,0.9242,18.5167
36,7,LAR_3,6.9769,0.9242,16.9167
36,7,LAR_4,6.9007,0.9242,16.7167
36,7,LAR_5,6.9007,0.9242,17.8167
37,7,Human,10.0591,1.0000,60.0167
37,7,LAR_1,9.0117,0.9726,23.3000
37,7,LAR_2,7.7374,0.9726,20.0500
37,7,LAR_3,7.4364,0.9726,18.2500
37,7,LAR_4,7.3597,0.9726,17.5833
37,7,LAR_5,7.3597,0.9726,17.4500
38,7,Human,10.3108,2.2160,60.0167
38,7,LAR_1,8.5957,1.1088,21.4500
38,7,LAR_2,7.6680,1.1088,18.5333
38,7,LAR_3,7.2598,1.1088,17.1333
38,7,LAR_4,7.1383,1.1088,18.2333
38,7,LAR_5,7.1297,1.1088,18.2833
39,7,Human,10.0336,2.1093,60.0167
39,7,LAR_1,8.7651,1.0553,22.1500
39,7,LAR_2,7.7423,1.0553,19.1333
39,7,LAR_3,7.3921,1.0553,17.5333
39,7,LAR_4,7.2826,1.0553,17.5667
39,7,LAR_5,7.2808,1.0553,18.5167
40,7,Human,9.8493,1.1785,60.0167
40,7,LAR_1,9.4774,1.1850,23.9167
40,7,LAR_2,8.0160,1.1850,20.3333
