Trial_ID,Scenario,Lane_Type,Peak_Speed_Variance,Amplification_Factor,Settling_Time_sec
1,2,Human,12.1146,1.9400,60.0167
1,2,LAR_1,8.3200,0.9700,60.0167
1,2,LAR_2,6.5990,0.9700,60.0167
1,2,LAR_3,5.7264,0.9700,60.0167
1,2,LAR_4,5.4114,0.9700,60.0167
1,2,LAR_5,5.3367,0.9700,60.0167
2,2,Human,11.9827,1.8941,60.0167
2,2,LAR_1,8.3385,0.9470,60.0167
2,2,LAR_2,7.1995,0.9470,60.0167
2,2,LAR_3,6.3416,0.9470,60.0167
2,2,LAR_4,5.9985,0.9470,60.0167
2,2,LAR_5,5.9163,0.9470,60.0167
3,2,Human,11.9403,1.8434,60.0167
3,2,LAR_1,7.8714,0.9217,59.7333
3,2,LAR_2,7.1021,0.9217,59.5333
3,2,LAR_3,6.4844,0.9217,59.4500
3,2,LAR_4,6.1960,0.9217,59.4167
3,2,LAR_5,6.1187,0.9217,59.4000
4,2,Human,11.5959,1.7492,60.0167
4,2,LAR_1,7.7743,0.8746,60.0167
4,2,LAR_2,6.7416,0.8746,59.8167
4,2,LAR_3,5.9628,0.8746,59.7500
4,2,LAR_4,5.6464,0.8746,59.7167
4,2,LAR_5,5.5710,0.8746,59.7000
5,2,Human,12.7759,1.7869,60.0167
5,2,LAR_1,8.0473,0.8934,60.0167
5,2,LAR_2,7.5782,0.8934,59.9000
5,2,LAR_3,7.1496,0.8934,59.7333
5,2,LAR_4,6.9874,0.8934,59.6667
5,2,LAR_5,6.9539,0.8934,59.6500
6,2,Human,13.2751,1.8549,60.0167
6,2,LAR_1,9.1380,0.9274,59.9333
6,2,LAR_2,7.8921,0.9274,59.7167
6,2,LAR_3,6.9287,0.9274,59.6333
6,2,LAR_4,6.5495,0.9274,59.6000
6,2,LAR_5,6.4578,0.9274,59.6000
7,2,Human,12.3466,1.8220,60.0167
7,2,LAR_1,8.3989,0.9110,60.0167
7,2,LAR_2,7.2010,0.9110,60.0167
7,2,LAR_3,6.3183,0.9110,60.0167
7,2,LAR_4,5.9741,0.9110,58.2000
7,2,LAR_5,5.8916,0.9110,58.1833
8,2,Human,13.1186,1.9344,60.0167
8,2,LAR_1,9.1060,0.9672,60.0167
8,2,LAR_2,8.1068,0.9672,60.0167
8,2,LAR_3,7.2672,0.9672,60.0167
8,2,LAR_4,6.8850,0.9672,60.0167
8,2,LAR_5,6.7917,0.9672,60.0167
9,2,Human,13.3113,2.1176,60.0167
9,2,LAR_1,9.5756,1.0588,60.0167
9,2,LAR_2,8.3388,1.0588,60.0167
9,2,LAR_3,7.3742,1.0588,60.0167
9,2,LAR_4,6.9791,1.0588,60.0167
9,2,LAR_5,6.8838,1.0588,60.0167
10,2,Human,12.6965,1.7300,60.0167
10,2,LAR_1,8.0514,0.8650,60.0167
10,2,LAR_2,7.4743,0.8650,60.0167
10,2,LAR_3,6.9410,0.8650,60.0167
10,2,LAR_4,6.6752,0.8650,60.0167
10,2,LAR_5,6.6027,0.8650,60.0167
11,2,Human,13.3714,2.1112,60.0167
11,2,LAR_1,8.7956,1.0556,60.0167
11,2,LAR_2,7.9958,1.0556,59.9833
11,2,LAR_3,7.4453,1.0556,59.8333
11,2,LAR_4,7.2012,1.0556,59.7667
11,2,LAR_5,7.1338,1.0556,59.7500
12,2,Human,12.3350,1.9716,60.0167
12,2,LAR_1,8.6981,0.9858,60.0167
12,2,LAR_2,7.7077,0.9858,60.0167
12,2,LAR_3,6.9048,0.9858,59.9833
12,2,LAR_4,6.5453,0.9858,59.9167
12,2,LAR_5,6.4575,0.9858,59.8833
13,2,Human,11.9244,2.0894,60.0167
13,2,LAR_1,8.4405,1.0447,60.0167
13,2,LAR_2,7.4455,1.0447,60.0167
13,2,LAR_3,6.7356,1.0447,59.9167
13,2,LAR_4,6.4085,1.0447,59.8500
13,2,LAR_5,6.3233,1.0447,59.8333
14,2,Human,12.4885,2.1611,60.0167
14,2,LAR_1,9.3016,1.0806,60.0167
14,2,LAR_2,7.4047,1.0806,60.0000
14,2,LAR_3,6.4014,1.0806,59.8333
14,2,LAR_4,6.0434,1.0806,59.7667
14,2,LAR_5,5.9587,1.0806,59.7500
15,2,Human,13.6771,2.0906,60.0167
15,2,LAR_1,9.0669,1.0453,60.0167
15,2,LAR_2,8.2292,1.0453,60.0167
15,2,LAR_3,7.6374,1.0453,60.0167
15,2,LAR_4,7.3527,1.0453,60.0167
15,2,LAR_5,7.2721,1.0453,60.0167
16,2,Human,12.4676,1.9637,60.0167
16,2,LAR_1,8.4159,0.9818,60.0167
16,2,LAR_2,7.5356,0.9818,60.0167
16,2,LAR_3,6.8172,0.9818,60.0167
16,2,LAR_4,6.4794,0.9818,60.0000
16,2,LAR_5,6.3940,0.9818,59.9833
17,2,Human,11.7048,1.8498,60.0167
17,2,LAR_1,7.9675,0.9249,59.5333
17,2,LAR_2,7.1012,0.9249,59.1833
17,2,LAR_3,6.3921,0.9249,59.0333
17,2,LAR_4,6.0722,0.9249,58.9667
17,2,LAR_5,5.9927,0.9249,58.9333
18,2,Human,12.0259,1.7692,60.0167
18,2,LAR_1,7.5651,0.8846,60.0167
18,2,LAR_2,6.9513,0.8846,60.0167
18,2,LAR_3,6.4377,0.8846,59.8667
18,2,LAR_4,6.2025,0.8846,59.8000
18,2,LAR_5,6.1386,0.8846,59.7667
19,2,Human,11.7080,1.7185,60.0167
19,2,LAR_1,7.5478,0.8592,60.0167
19,2,LAR_2,6.8775,0.8592,60.0167
19,2,LAR_3,6.2768,0.8592,60.0167
19,2,LAR_4,5.9931,0.8592,60.0167
19,2,LAR_5,5.9191,0.8592,60.0167
20,2,Human,13.2194,1.6837,60.0167
20,2,LAR_1,9.5651,1.1930,60.0167
20,2,LAR_2,8.4271,1.1930,60.0167
20,2,LAR_3,7.6519,1.1930,60.0167
20,2,LAR_4,7.2750,1.1930,60.0000
20,2,LAR_5,7.1763,1.1930,60.0000
21,2,Human,12.8363,1.9038,60.0167
21,2,LAR_1,9.1250,0.9519,59.5667
21,2,LAR_2,7.5314,0.9519,59.2000
21,2,LAR_3,6.5478,0.9519,59.0500
21,2,LAR_4,6.1849,0.9519,58.9833
21,2,LAR_5,6.0974,0.9519,58.9667
22,2,Human,13.5171,2.1565,60.0167
22,2,LAR_1,9.4263,1.0783,60.0167
22,2,LAR_2,8.4638,1.0783,60.0167
22,2,LAR_3,7.7419,1.0783,60.0167
22,2,LAR_4,7.3764,1.0783,60.0167
22,2,LAR_5,7.2795,1.0783,60.0167
23,2,Human,12.1606,2.2891,60.0167
23,2,LAR_1,9.0002,1.1446,60.0167
23,2,LAR_2,7.7542,1.1446,60.0167
23,2,LAR_3,6.8770,1.1446,60.0167
23,2,LAR_4,6.5148,1.1446,60.0167
23,2,LAR_5,6.4252,1.1446,60.0167
24,2,Human,12.7668,2.1097,60.0167
24,2,LAR_1,9.4933,1.0548,60.0167
24,2,LAR_2,7.6804,1.0548,59.8667
24,2,LAR_3,6.6580,1.0548,59.7833
24,2,LAR_4,6.2863,1.0548,59.7500
24,2,LAR_5,6.1972,1.0548,59.7500
25,2,Human,12.7042,1.9754,60.0167
25,2,LAR_1,9.6724,1.1881,60.0167
25,2,LAR_2,8.1047,1.1881,59.7667
25,2,LAR_3,7.0972,1.1881,59.6167
25,2,LAR_4,6.7156,1.1881,59.5500
25,2,LAR_5,6.6227,1.1881,59.5333
26,2,Human,12.5621,1.7452,60.0167
26,2,LAR_1,8.0821,0.8726,60.0167
26,2,LAR_2,7.3938,0.8726,59.7833
26,2,LAR_3,6.7795,0.8726,59.6333
26,2,LAR_4,6.4801,0.8726,59.5667
26,2,LAR_5,6.4004,0.8726,59.5500
27,2,Human,12.8634,2.1740,60.0167
27,2,LAR_1,9.4950,1.0870,60.0167
27,2,LAR_2,7.5977,1.0870,60.0167
27,2,LAR_3,6.5743,1.0870,60.0167
27,2,LAR_4,6.2070,1.0870,60.0167
27,2,LAR_5,6.1198,1.0870,60.0167
28,2,Human,11.9212,1.7282,60.0167
28,2,LAR_1,8.0688,0.8641,60.0167
28,2,LAR_2,6.4720,0.8641,60.0167
28,2,LAR_3,5.5969,0.8641,60.0167
28,2,LAR_4,5.2835,0.8641,60.0167
28,2,LAR_5,5.2085,0.8641,60.0167
29,2,Human,12.5778,2.0001,60.0167
29,2,LAR_1,8.8260,1.0000,60.0167
29,2,LAR_2,7.8640,1.0000,60.0167
29,2,LAR_3,7.0899,1.0000,60.0167
29,2,LAR_4,6.7287,1.0000,60.0167
29,2,LAR_5,6.6385,1.0000,60.0167
30,2,Human,12.9996,1.8586,60.0167
30,2,LAR_1,8.2224,0.9293,60.0167
30,2,LAR_2,7.6870,0.9293,60.0167
30,2,LAR_3,7.2056,0.9293,60.0167
30,2,LAR_4,7.0101,0.9293,60.0167
30,2,LAR_5,6.9622,0.9293,60.0167
31,2,Human,12.5303,2.3422,60.0167
31,2,LAR_1,8.8687,1.1711,60.0167
31,2,LAR_2,7.8494,1.1711,60.0167
31,2,LAR_3,7.2200,1.1711,60.0167
31,2,LAR_4,6.9192,1.1711,60.0167
31,2,LAR_5,6.8345,1.1711,60.0167
32,2,Human,12.5393,2.2996,60.0167
32,2,LAR_1,9.1435,1.1498,59.1833
32,2,LAR_2,7.7369,1.1498,58.8500
32,2,LAR_3,6.7989,1.1498,58.6833
32,2,LAR_4,6.4357,1.1498,58.6167
32,2,LAR_5,6.3470,1.1498,58.6000
33,2,Human,11.5931,1.8994,60.0167
33,2,LAR_1,8.2735,0.9497,59.0833
33,2,LAR_2,6.3357,0.9497,58.7167
33,2,LAR_3,5.4375,0.9497,58.5833
33,2,LAR_4,5.1302,0.9497,58.5000
33,2,LAR_5,5.0580,0.9497,58.4833
34,2,Human,13.3648,1.5753,60.0167
34,2,LAR_1,9.6999,1.1054,60.0167
34,2,LAR_2,8.4158,1.1054,60.0167
34,2,LAR_3,7.4465,1.1054,60.0167
34,2,LAR_4,7.0492,1.1054,60.0167
34,2,LAR_5,6.9525,1.1054,60.0167
35,2,Human,13.3023,1.8267,60.0167
35,2,LAR_1,9.6148,1.1248,60.0167
35,2,LAR_2,8.4847,1.1248,60.0167
35,2,LAR_3,7.6324,1.1248,60.0167
35,2,LAR_4,7.2376,1.1248,60.0167
35,2,LAR_5,7.1386,1.1248,60.0167
36,2,Human,12.1779,2.0008,60.0167
36,2,LAR_1,8.6592,1.0004,59.8500
36,2,LAR_2,7.5304,1.0004,59.5000
36,2,LAR_3,6.6850,1.0004,59.3333
36,2,LAR_4,6.3324,1.0004,59.2667
36,2,LAR_5,6.2466,1.0004,59.2500
37,2,Human,13.4779,2.0755,60.0167
37,2,LAR_1,9.4618,1.0378,60.0167
37,2,LAR_2,8.3508,1.0378,60.0167
37,2,LAR_3,7.4631,1.0378,60.0167
37,2,LAR_4,7.0701,1.0378,60.0167
37,2,LAR_5,6.9739,1.0378,60.0167
38,2,Human,12.0469,2.2741,60.0167
