Trial_ID,Scenario,Lane_Type,Peak_Speed_Variance,Amplification_Factor,Settling_Time_sec
19,4,LAR_4,7.3823,2.0115,19.9167
19,4,LAR_5,7.2802,2.0115,19.5833
20,4,Human,14.4333,1.0417,60.0167
20,4,LAR_1,12.4875,5.8292,29.5833
20,4,LAR_2,10.5459,5.8292,25.9833
20,4,LAR_3,9.4462,5.8292,24.1333
20,4,LAR_4,8.9915,5.8292,23.2667
20,4,LAR_5,8.8659,5.8292,22.8667
21,4,Human,14.1679,1.0812,60.0167
21,4,LAR_1,11.7372,2.6050,28.2833
21,4,LAR_2,9.6367,2.6050,24.8833
21,4,LAR_3,8.5256,2.6050,23.1667
21,4,LAR_4,8.0962,2.6050,22.3333
21,4,LAR_5,7.9826,2.6050,21.9833
22,4,Human,15.1274,1.0000,59.2500
22,4,LAR_1,12.3439,3.8349,29.4333
22,4,LAR_2,10.4061,3.8349,25.8167
22,4,LAR_3,9.3672,3.8349,23.9833
22,4,LAR_4,8.9170,3.8349,23.1000
22,4,LAR_5,8.7927,3.8349,22.7167
23,4,Human,15.8813,1.5308,60.0167
23,4,LAR_1,11.7681,4.8302,27.9333
23,4,LAR_2,9.8275,4.8302,24.5333
23,4,LAR_3,8.7306,4.8302,22.8000
23,4,LAR_4,8.3044,4.8302,21.9833
23,4,LAR_5,8.1879,4.8302,21.6167
24,4,Human,13.7653,1.0000,60.0167
24,4,LAR_1,11.8300,3.5542,28.2500
24,4,LAR_2,9.6887,3.5542,24.8333
24,4,LAR_3,8.5752,3.5542,23.1000
24,4,LAR_4,8.1450,3.5542,22.2833
24,4,LAR_5,8.0306,3.5542,21.9333
25,4,Human,16.6989,1.0000,58.6500
25,4,LAR_1,12.0818,5.7135,28.6167
25,4,LAR_2,10.0072,5.7135,25.1500
25,4,LAR_3,8.8806,5.7135,23.4000
25,4,LAR_4,8.4441,5.7135,22.5667
25,4,LAR_5,8.3257,5.7135,22.2000
26,4,Human,14.4583,1.0573,60.0167
26,4,LAR_1,11.4659,2.0863,27.9500
26,4,LAR_2,9.6203,2.0863,24.5833
26,4,LAR_3,8.6254,2.0863,22.8667
26,4,LAR_4,8.2062,2.0863,22.0500
26,4,LAR_5,8.0915,2.0863,21.6833
27,4,Human,13.4494,1.0000,60.0167
27,4,LAR_1,11.6704,3.9482,27.8000
27,4,LAR_2,9.5285,3.9482,24.4500
27,4,LAR_3,8.4308,3.9482,22.7500
27,4,LAR_4,8.0081,3.9482,21.9333
27,4,LAR_5,7.8956,3.9482,21.5833
28,4,Human,13.2526,1.0000,60.0167
28,4,LAR_1,10.6596,2.0384,26.0333
28,4,LAR_2,8.6495,2.0384,22.9333
28,4,LAR_3,7.6298,2.0384,21.3833
28,4,LAR_4,7.2428,2.0384,20.6333
28,4,LAR_5,7.1413,2.0384,20.3167
29,4,Human,15.3309,2.3907,60.0167
29,4,LAR_1,11.5796,3.0004,27.7667
29,4,LAR_2,9.7142,3.0004,24.3667
29,4,LAR_3,8.6751,3.0004,22.6333
29,4,LAR_4,8.2496,3.0004,21.8167
29,4,LAR_5,8.1339,3.0004,21.4500
30,4,Human,15.3646,1.3717,60.0167
30,4,LAR_1,11.7941,2.4425,28.5000
30,4,LAR_2,9.8941,2.4425,24.9833
30,4,LAR_3,8.9924,2.4425,23.2000
30,4,LAR_4,8.6285,2.4425,22.3667
30,4,LAR_5,8.5219,2.4425,21.9833
31,4,Human,16.4580,1.0927,60.0167
31,4,LAR_1,11.8945,5.3406,28.2000
31,4,LAR_2,10.0278,5.3406,24.7167
31,4,LAR_3,9.0357,5.3406,22.9500
31,4,LAR_4,8.6080,5.3406,22.1167
31,4,LAR_5,8.4883,5.3406,21.7333
32,4,Human,13.9243,1.0000,60.0167
32,4,LAR_1,11.7384,4.9246,27.8500
32,4,LAR_2,9.7364,4.9246,24.4667
32,4,LAR_3,8.6383,4.9246,22.7667
32,4,LAR_4,8.2146,4.9246,21.9500
32,4,LAR_5,8.0993,4.9246,21.5833
33,4,Human,12.4853,5.1775,60.0167
33,4,LAR_1,10.7688,2.5888,26.1000
33,4,LAR_2,8.6492,2.5888,22.9833
33,4,LAR_3,7.6261,2.5888,21.4167
33,4,LAR_4,7.2377,2.5888,20.6833
33,4,LAR_5,7.1363,2.5888,20.3667
34,4,Human,14.9811,1.0000,60.0167
34,4,LAR_1,12.4115,4.2022,29.5500
34,4,LAR_2,10.3910,4.2022,25.9667
34,4,LAR_3,9.2369,4.2022,24.1333
34,4,LAR_4,8.7834,4.2022,23.2667
34,4,LAR_5,8.6604,4.2022,22.8833
35,4,Human,16.1899,1.0000,58.2167
35,4,LAR_1,12.3843,4.4962,29.4500
35,4,LAR_2,10.4354,4.4962,25.8500
35,4,LAR_3,9.3216,4.4962,24.0167
35,4,LAR_4,8.8680,4.4962,23.1500
35,4,LAR_5,8.7439,4.4962,22.7667
36,4,Human,14.4512,1.1490,60.0167
36,4,LAR_1,11.5076,3.0038,27.5833
36,4,LAR_2,9.5909,3.0038,24.2333
36,4,LAR_3,8.5094,3.0038,22.5500
36,4,LAR_4,8.0892,3.0038,21.7333
36,4,LAR_5,7.9756,3.0038,21.3833
37,4,Human,14.2684,1.0000,60.0167
37,4,LAR_1,12.2831,3.3676,29.3667
37,4,LAR_2,10.3168,3.3676,25.8000
37,4,LAR_3,9.1861,3.3676,23.9833
37,4,LAR_4,8.7345,3.3676,23.1167
37,4,LAR_5,8.6121,3.3676,22.7333
38,4,Human,16.3320,1.0000,60.0167
38,4,LAR_1,11.5975,4.6996,27.5333
38,4,LAR_2,9.4944,4.6996,24.2167
38,4,LAR_3,8.4099,4.6996,22.5333
38,4,LAR_4,7.9934,4.6996,21.7333
38,4,LAR_5,7.8812,4.6996,21.3833
39,4,Human,14.2770,1.0000,60.0167
39,4,LAR_1,11.8903,4.1112,28.3000
39,4,LAR_2,9.8162,4.1112,24.8833
39,4,LAR_3,8.7018,4.1112,23.1500
39,4,LAR_4,8.2711,4.1112,22.3167
39,4,LAR_5,8.1550,4.1112,21.9667
40,4,Human,17.4325,1.0000,57.0000
40,4,LAR_1,12.6439,5.7387,29.9667
40,4,LAR_2,10.6929,5.7387,26.3000
40,4,LAR_3,9.6794,5.7387,24.4167
40,4,LAR_4,9.2284,5.7387,23.5333
40,4,LAR_5,9.1008,5.7387,23.1333
41,4,Human,13.0093,4.5279,60.0167
41,4,LAR_1,11.1320,2.2639,27.0000
41,4,LAR_2,9.3175,2.2639,23.7167
41,4,LAR_3,8.3310,2.2639,22.0500
41,4,LAR_4,7.9228,2.2639,21.2500
41,4,LAR_5,7.8119,2.2639,20.9000
42,4,Human,14.8896,1.3377,60.0167
42,4,LAR_1,11.7704,2.4300,28.4500
42,4,LAR_2,9.8755,2.4300,24.9500
42,4,LAR_3,8.9260,2.4300,23.1833
42,4,LAR_4,8.5090,2.4300,22.3333
42,4,LAR_5,8.3920,2.4300,21.9667
43,4,Human,15.1722,1.3562,58.0333
43,4,LAR_1,12.1004,2.6989,29.1333
43,4,LAR_2,10.1879,2.6989,25.5833
43,4,LAR_3,9.2020,2.6989,23.7667
43,4,LAR_4,8.7675,2.6989,22.9167
43,4,LAR_5,8.6460,2.6989,22.5167
44,4,Human,16.6183,1.0000,58.5500
44,4,LAR_1,12.4107,3.5163,29.6500
44,4,LAR_2,10.4660,3.5163,26.0167
44,4,LAR_3,9.4801,3.5163,24.1667
44,4,LAR_4,9.0405,3.5163,23.2833
44,4,LAR_5,8.9160,3.5163,22.8833
45,4,Human,15.2644,1.2366,60.0167
45,4,LAR_1,11.9871,3.7058,28.6000
45,4,LAR_2,9.8408,3.7058,25.1500
45,4,LAR_3,8.7175,3.7058,23.4167
45,4,LAR_4,8.2828,3.7058,22.5833
45,4,LAR_5,8.1665,3.7058,22.2167
46,4,Human,13.4585,4.5531,60.0167
46,4,LAR_1,10.9320,2.2765,26.5167
46,4,LAR_2,9.0779,2.2765,23.3167
46,4,LAR_3,8.0431,2.2765,21.7000
46,4,LAR_4,7.6443,2.2765,20.9333
46,4,LAR_5,7.5371,2.2765,20.6000
47,4,Human,12.3581,1.1780,60.0167
47,4,LAR_1,11.1807,2.0587,27.2667
47,4,LAR_2,9.3480,2.0587,23.9333
47,4,LAR_3,8.4598,2.0587,22.2333
47,4,LAR_4,8.0829,2.0587,21.4333
47,4,LAR_5,7.9747,2.0587,21.0667
48,4,Human,12.8357,1.0000,60.0167
48,4,LAR_1,11.6424,2.3453,28.1833
48,4,LAR_2,9.7613,2.3453,24.7333
48,4,LAR_3,8.7404,2.3453,23.0000
48,4,LAR_4,8.3108,2.3453,22.1667
48,4,LAR_5,8.1945,2.3453,21.8000
49,4,Human,15.1691,1.0000,60.0167
49,4,LAR_1,12.5100,4.1339,29.8000
49,4,LAR_2,10.5598,4.1339,26.1500
49,4,LAR_3,9.4696,4.1339,24.3000
49,4,LAR_4,9.0121,4.1339,23.4167
49,4,LAR_5,8.8862,4.1339,23.0333
50,4,Human,15.2630,1.1737,60.0167
50,4,LAR_1,12.0165,2.6942,28.9167
50,4,LAR_2,10.0815,2.6942,25.3333
50,4,LAR_3,9.1691,2.6942,23.5167
50,4,LAR_4,8.8216,2.6942,22.6500
50,4,LAR_5,8.7245,2.6942,22.2500
51,4,Human,16.3191,1.2784,60.0167
51,4,LAR_1,11.1658,2.7677,26.8333
51,4,LAR_2,9.2075,2.7677,23.6000
51,4,LAR_3,8.1469,2.7677,21.9500
51,4,LAR_4,7.7402,2.7677,21.1667
51,4,LAR_5,7.6315,2.7677,20.8333
52,4,Human,11.8171,1.1895,60.0167
52,4,LAR_1,10.9586,2.0642,26.7333
52,4,LAR_2,9.0331,2.0642,23.5167
52,4,LAR_3,7.9851,2.0642,21.9000
52,4,LAR_4,7.5837,2.0642,21.1333
52,4,LAR_5,7.4773,2.0642,20.8000
53,4,Human,12.7600,1.0000,60.0167
53,4,LAR_1,11.8319,2.5057,28.5500
53,4,LAR_2,9.9320,2.5057,25.0667
53,4,LAR_3,8.9040,2.5057,23.2833
53,4,LAR_4,8.4679,2.5057,22.4500
53,4,LAR_5,8.3494,2.5057,22.0833
54,4,Human,14.5623,1.2432,60.0167
54,4,LAR_1,11.1917,2.8374,26.8667
54,4,LAR_2,9.3647,2.8374,23.5833
54,4,LAR_3,8.3414,2.8374,21.9167
54,4,LAR_4,7.9309,2.8374,21.1333
54,4,LAR_5,7.8197,2.8374,20.7833
55,4,Human,13.5754,1.0000,60.0167
55,4,LAR_1,10.4920,2.0946,25.5667
55,4,LAR_2,8.6433,2.0946,22.4833
55,4,LAR_3,7.6349,2.0946,20.9167
55,4,LAR_4,7.2504,2.0946,20.1833
55,4,LAR_5,7.1488,2.0946,19.8667
56,4,Human,14.0594,1.0000,60.0167
56,4,LAR_1,12.0305,3.2258,28.7833
