Trial_ID,Scenario,Lane_Type,Peak_Speed_Variance,Amplification_Factor,Settling_Time_sec
1,3,Human,7.6816,1.3130,60.0167
1,3,LAR_1,8.3368,0.4924,22.5667
1,3,LAR_2,6.9299,0.4924,20.1167
1,3,LAR_3,6.3332,0.4924,18.8500
1,3,LAR_4,6.1399,0.4924,18.3167
1,3,LAR_5,6.0939,0.4924,18.0333
2,3,Human,6.1944,1.2971,60.0167
2,3,LAR_1,7.6692,0.4864,21.5500
2,3,LAR_2,6.3862,0.4864,19.3333
2,3,LAR_3,5.8553,0.4864,18.1833
2,3,LAR_4,5.6823,0.4864,17.7000
2,3,LAR_5,5.6397,0.4864,17.5167
3,3,Human,8.3701,1.2790,60.0167
3,3,LAR_1,9.0370,0.4796,23.8167
3,3,LAR_2,7.4745,0.4796,21.0833
3,3,LAR_3,6.7873,0.4796,19.6833
3,3,LAR_4,6.5635,0.4796,19.0667
3,3,LAR_5,6.5121,0.4796,18.7667
4,3,Human,6.2417,1.2441,60.0167
4,3,LAR_1,8.1169,0.4666,22.2500
4,3,LAR_2,6.7427,0.4666,19.8667
4,3,LAR_3,6.1623,0.4666,18.6500
4,3,LAR_4,5.9741,0.4666,18.1167
4,3,LAR_5,5.9288,0.4666,17.8500
5,3,Human,8.8537,1.2583,60.0167
5,3,LAR_1,8.9799,0.4719,24.5667
5,3,LAR_2,7.4414,0.4719,21.8667
5,3,LAR_3,6.7694,0.4719,20.4833
5,3,LAR_4,6.5511,0.4719,19.8833
5,3,LAR_5,6.5008,0.4719,19.5833
6,3,Human,6.6480,1.2831,60.0167
6,3,LAR_1,8.7206,0.4812,24.4000
6,3,LAR_2,7.2689,0.4812,21.8500
6,3,LAR_3,6.6525,0.4812,20.5333
6,3,LAR_4,6.4529,0.4812,19.9667
6,3,LAR_5,6.4065,0.4812,19.6667
7,3,Human,8.2170,1.2712,60.0167
7,3,LAR_1,8.1997,0.4767,22.7833
7,3,LAR_2,6.8244,0.4767,20.3833
7,3,LAR_3,6.2458,0.4767,19.1500
7,3,LAR_4,6.0583,0.4767,18.6333
7,3,LAR_5,6.0134,0.4767,18.3500
8,3,Human,8.4202,1.3111,60.0167
8,3,LAR_1,8.8383,0.4917,24.3167
8,3,LAR_2,7.3424,0.4917,21.7000
8,3,LAR_3,6.6972,0.4917,20.3500
8,3,LAR_4,6.4881,0.4917,19.7667
8,3,LAR_5,6.4396,0.4917,19.4667
9,3,Human,6.6827,1.3714,60.0167
9,3,LAR_1,8.7320,0.5143,23.9833
9,3,LAR_2,7.2504,0.5143,21.3833
9,3,LAR_3,6.6124,0.5143,20.0500
9,3,LAR_4,6.4057,0.5143,19.4833
9,3,LAR_5,6.3574,0.5143,19.1833
10,3,Human,6.5567,1.2368,60.0167
10,3,LAR_1,8.5542,0.4638,23.6833
10,3,LAR_2,7.1041,0.4638,21.1667
10,3,LAR_3,6.4833,0.4638,19.8667
10,3,LAR_4,6.2822,0.4638,19.3000
10,3,LAR_5,6.2349,0.4638,19.0167
11,3,Human,8.5121,1.3694,60.0167
11,3,LAR_1,9.8151,0.5135,25.5167
11,3,LAR_2,8.1124,0.5135,22.5000
11,3,LAR_3,7.3465,0.5135,20.9667
11,3,LAR_4,7.0931,0.5135,20.2833
11,3,LAR_5,7.0371,0.5135,19.9500
12,3,Human,8.7705,1.3238,60.0167
12,3,LAR_1,8.5666,0.4964,23.2667
12,3,LAR_2,7.1015,0.4964,20.7333
12,3,LAR_3,6.4703,0.4964,19.4167
12,3,LAR_4,6.2657,0.4964,18.8500
12,3,LAR_5,6.2175,0.4964,18.5500
13,3,Human,8.9727,1.3625,60.0167
13,3,LAR_1,9.0549,0.5109,23.5833
13,3,LAR_2,7.4803,0.5109,20.8333
13,3,LAR_3,6.7849,0.5109,19.4333
13,3,LAR_4,6.5581,0.5109,18.8167
13,3,LAR_5,6.5061,0.5109,18.5000
14,3,Human,6.7111,1.3850,60.0167
14,3,LAR_1,8.0113,0.5194,22.3667
14,3,LAR_2,6.6762,0.5194,20.0500
14,3,LAR_3,6.1201,0.5194,18.8500
14,3,LAR_4,5.9396,0.5194,18.3333
14,3,LAR_5,5.8959,0.5194,18.0667
15,3,Human,8.5574,1.3629,60.0167
15,3,LAR_1,9.9433,0.5111,25.9833
15,3,LAR_2,8.2282,0.5111,22.9333
15,3,LAR_3,7.4564,0.5111,21.3833
15,3,LAR_4,7.2007,0.5111,20.7000
15,3,LAR_5,7.1445,0.5111,20.3667
16,3,Human,8.3393,1.3211,60.0167
16,3,LAR_1,8.1399,0.4954,22.3333
16,3,LAR_2,6.7469,0.4954,19.9333
16,3,LAR_3,6.1541,0.4954,18.7000
16,3,LAR_4,5.9618,0.4954,18.1500
16,3,LAR_5,5.9155,0.4954,17.8833
17,3,Human,7.6518,1.2813,60.0167
17,3,LAR_1,8.3528,0.4805,22.5833
17,3,LAR_2,6.9201,0.4805,20.1167
17,3,LAR_3,6.3057,0.4805,18.8333
17,3,LAR_4,6.1065,0.4805,18.2833
17,3,LAR_5,6.0591,0.4805,18.0000
18,3,Human,8.3865,1.2517,60.0167
18,3,LAR_1,9.0367,0.4694,23.9500
18,3,LAR_2,7.4752,0.4694,21.2167
18,3,LAR_3,6.7886,0.4694,19.8167
18,3,LAR_4,6.5651,0.4694,19.2000
18,3,LAR_5,6.5137,0.4694,18.9000
19,3,Human,8.2083,1.2324,60.0167
19,3,LAR_1,7.9685,0.4622,22.0000
19,3,LAR_2,6.6142,0.4622,19.6667
19,3,LAR_3,6.0433,0.4622,18.4500
19,3,LAR_4,5.8580,0.4622,17.9333
19,3,LAR_5,5.8131,0.4622,17.6667
20,3,Human,8.3943,1.4507,60.0167
20,3,LAR_1,9.6844,0.5440,25.2000
20,3,LAR_2,8.0076,0.5440,22.2333
20,3,LAR_3,7.2565,0.5440,20.7167
20,3,LAR_4,7.0089,0.5440,20.0500
20,3,LAR_5,6.9539,0.5440,19.7167
21,3,Human,8.1709,1.3005,60.0167
21,3,LAR_1,8.6853,0.4877,24.1333
21,3,LAR_2,7.2398,0.4877,21.6000
21,3,LAR_3,6.6268,0.4877,20.2833
21,3,LAR_4,6.4284,0.4877,19.7167
21,3,LAR_5,6.3821,0.4877,19.4167
22,3,Human,8.8135,1.3835,60.0167
22,3,LAR_1,9.3484,0.5188,25.0500
22,3,LAR_2,7.7415,0.5188,22.2167
22,3,LAR_3,7.0307,0.5188,20.7667
22,3,LAR_4,6.7985,0.5188,20.1333
22,3,LAR_5,6.7461,0.5188,19.8167
23,3,Human,9.0719,1.4232,60.0167
23,3,LAR_1,9.1215,0.5337,23.7833
23,3,LAR_2,7.5407,0.5337,21.0167
23,3,LAR_3,6.8428,0.5337,19.6000
23,3,LAR_4,6.6150,0.5337,18.9667
23,3,LAR_5,6.5630,0.5337,18.6667
24,3,Human,8.6439,1.3689,60.0167
24,3,LAR_1,8.3526,0.5133,23.3167
24,3,LAR_2,6.9616,0.5133,20.9000
24,3,LAR_3,6.3771,0.5133,19.6333
24,3,LAR_4,6.1877,0.5133,19.1000
24,3,LAR_5,6.1429,0.5133,18.8167
25,3,Human,8.9607,1.4479,60.0167
25,3,LAR_1,8.9053,0.5430,23.7667
25,3,LAR_2,7.3792,0.5430,21.1000
25,3,LAR_3,6.7142,0.5430,19.7333
25,3,LAR_4,6.4982,0.5430,19.1333
25,3,LAR_5,6.4482,0.5430,18.8333
26,3,Human,7.2275,1.2426,60.0167
26,3,LAR_1,9.3049,0.4660,24.9333
26,3,LAR_2,7.7161,0.4660,22.1333
26,3,LAR_3,7.0172,0.4660,20.7000
26,3,LAR_4,6.7893,0.4660,20.0667
26,3,LAR_5,6.7378,0.4660,19.7500
27,3,Human,8.2776,1.3889,60.0167
27,3,LAR_1,8.1016,0.5208,22.6833
27,3,LAR_2,6.7533,0.5208,20.3333
27,3,LAR_3,6.1908,0.5208,19.1167
27,3,LAR_4,6.0083,0.5208,18.6000
27,3,LAR_5,5.9645,0.5208,18.3333
28,3,Human,8.1222,1.2361,60.0167
