Trial_ID,Scenario,Lane_Type,Peak_Speed_Variance,Amplification_Factor,Settling_Time_sec
1,5,Human,11.5853,1.2473,60.0167
1,5,LAR_1,9.3256,0.8856,22.4333
1,5,LAR_2,7.7817,0.8856,19.1667
1,5,LAR_3,7.0187,0.8856,17.5667
1,5,LAR_4,6.7353,0.8856,16.8000
1,5,LAR_5,6.6713,0.8856,16.5333
2,5,Human,8.9423,1.7135,60.0167
2,5,LAR_1,9.4745,0.8579,22.6500
2,5,LAR_2,7.9143,0.8579,19.3667
2,5,LAR_3,7.1134,0.8579,17.7500
2,5,LAR_4,6.8082,0.8579,16.9833
2,5,LAR_5,6.7401,0.8579,16.7000
3,5,Human,8.4866,1.0808,60.0167
3,5,LAR_1,9.7805,0.8267,23.4833
3,5,LAR_2,8.1866,0.8267,20.1167
3,5,LAR_3,7.3556,0.8267,18.4667
3,5,LAR_4,7.0371,0.8267,17.6667
3,5,LAR_5,6.9670,0.8267,17.3833
4,5,Human,8.8944,1.5404,60.0167
4,5,LAR_1,9.3195,0.7709,22.4833
4,5,LAR_2,7.7763,0.7709,19.2167
4,5,LAR_3,7.0139,0.7709,17.6000
4,5,LAR_4,6.7308,0.7709,16.8500
4,5,LAR_5,6.6668,0.7709,16.5667
5,5,Human,11.3120,1.2429,60.0167
5,5,LAR_1,10.5625,0.7936,25.3667
5,5,LAR_2,8.8931,0.7936,21.7500
5,5,LAR_3,8.0220,0.7936,19.9667
5,5,LAR_4,7.6793,0.7936,19.1167
5,5,LAR_5,7.6033,0.7936,18.8000
6,5,Human,9.2738,1.0000,60.0167
6,5,LAR_1,10.3750,0.8334,25.0667
6,5,LAR_2,8.7153,0.8334,21.4500
6,5,LAR_3,7.9071,0.8334,19.6667
6,5,LAR_4,7.6111,0.8334,18.8167
6,5,LAR_5,7.5470,0.8334,18.5167
7,5,Human,9.1054,1.6261,60.0167
7,5,LAR_1,9.6746,0.8137,23.3333
7,5,LAR_2,8.0918,0.8137,19.9333
7,5,LAR_3,7.3135,0.8137,18.2667
7,5,LAR_4,7.0247,0.8137,17.4833
7,5,LAR_5,6.9602,0.8137,17.2000
8,5,Human,10.6619,1.0919,60.0167
8,5,LAR_1,10.4194,0.8824,25.0167
8,5,LAR_2,8.7644,0.8824,21.4333
8,5,LAR_3,7.9219,0.8824,19.6667
8,5,LAR_4,7.5935,0.8824,18.8167
8,5,LAR_5,7.5187,0.8824,18.5167
9,5,Human,9.2100,1.3137,60.0167
9,5,LAR_1,10.4200,1.0008,24.8667
9,5,LAR_2,8.7629,1.0008,21.3167
9,5,LAR_3,7.8908,1.0008,19.5500
9,5,LAR_4,7.5504,1.0008,18.7167
9,5,LAR_5,7.4758,1.0008,18.4000
10,5,Human,8.8530,1.0577,60.0167
10,5,LAR_1,10.1084,0.7600,24.3833
10,5,LAR_2,8.4825,0.7600,20.8833
10,5,LAR_3,7.6711,0.7600,19.1500
10,5,LAR_4,7.3621,0.7600,18.3167
10,5,LAR_5,7.2920,0.7600,18.0333
11,5,Human,9.5596,1.8636,60.0167
11,5,LAR_1,10.6725,0.9968,25.4333
11,5,LAR_2,8.9691,0.9968,21.8333
11,5,LAR_3,8.0323,0.9968,20.0500
11,5,LAR_4,7.6865,0.9968,19.2167
11,5,LAR_5,7.6112,0.9968,18.9000
12,5,Human,8.2979,1.2731,60.0167
12,5,LAR_1,9.9751,0.9060,23.8500
12,5,LAR_2,8.3608,0.9060,20.4167
12,5,LAR_3,7.5145,0.9060,18.7333
12,5,LAR_4,7.1888,0.9060,17.9167
12,5,LAR_5,7.1174,0.9060,17.6333
13,5,Human,8.2950,1.9624,60.0167
13,5,LAR_1,9.8153,0.9821,23.3667
13,5,LAR_2,8.1955,0.9821,20.0167
13,5,LAR_3,7.3201,0.9821,18.3667
