Trial_ID,Scenario,Lane_Type,Peak_Speed_Variance,Amplification_Factor,Settling_Time_sec
1,1,Human,9.2438,1.9400,60.0167
1,1,LAR_1,8.2405,0.9700,60.0167
1,1,LAR_2,6.8550,0.9700,59.7667
1,1,LAR_3,6.2667,0.9700,59.7667
1,1,LAR_4,6.0763,0.9700,59.7667
1,1,LAR_5,6.0308,0.9700,60.0167
2,1,Human,9.1163,1.8941,60.0167
2,1,LAR_1,7.9946,0.9470,60.0167
2,1,LAR_2,6.6215,0.9470,60.0167
2,1,LAR_3,6.0384,0.9470,60.0167
2,1,LAR_4,5.8491,0.9470,60.0167
2,1,LAR_5,5.8032,0.9470,60.0167
3,1,Human,9.1464,1.8434,60.0167
3,1,LAR_1,8.7542,0.9217,60.0167
3,1,LAR_2,7.2498,0.9217,58.7000
3,1,LAR_3,6.5959,0.9217,58.7000
3,1,LAR_4,6.3838,0.9217,60.0167
3,1,LAR_5,6.3343,0.9217,60.0167
4,1,Human,9.1506,1.7492,60.0167
4,1,LAR_1,7.9375,0.8746,60.0167
4,1,LAR_2,6.5965,0.8746,60.0167
4,1,LAR_3,6.0340,0.8746,60.0167
4,1,LAR_4,5.8513,0.8746,18.0500
4,1,LAR_5,5.8069,0.8746,60.0167
5,1,Human,11.2164,1.7869,60.0167
5,1,LAR_1,9.1837,0.8934,59.8333
5,1,LAR_2,7.5929,0.8934,56.2167
5,1,LAR_3,6.8895,0.8934,56.2167
5,1,LAR_4,6.6598,0.8934,56.2167
5,1,LAR_5,6.6075,0.8934,59.3833
6,1,Human,10.1097,1.5301,60.0167
6,1,LAR_1,8.9632,0.9274,60.0167
6,1,LAR_2,7.4433,0.9274,57.2333
6,1,LAR_3,6.7846,0.9274,57.2333
6,1,LAR_4,6.5708,0.9274,57.2333
6,1,LAR_5,6.5216,0.9274,60.0167
7,1,Human,8.9350,1.8220,60.0167
7,1,LAR_1,8.2690,0.9110,60.0167
7,1,LAR_2,6.8660,0.9110,59.4833
7,1,LAR_3,6.2699,0.9110,59.4833
7,1,LAR_4,6.0768,0.9110,59.4833
7,1,LAR_5,6.0306,0.9110,60.0167
8,1,Human,9.9173,1.6379,60.0167
8,1,LAR_1,9.1430,0.9672,60.0167
8,1,LAR_2,7.5723,0.9672,56.4000
